61
1.40431
-214.619,525.234,3.63187,30.48
-216.428,520.089,4.43374,30.9797
-217.9,514.942,4.47591,31.4793
-219.139,509.804,4.50038,31.979
-220.24,504.685,4.50799,32.4787
-221.295,499.596,4.50058,32.9784
-222.381,494.545,4.48042,33.478
-223.563,489.542,4.44978,33.9777
-224.893,484.596,4.41045,34.4774
-226.412,479.72,4.36359,34.977
-228.155,474.926,4.30978,35.4767
-230.154,470.233,4.2493,35.9764
-232.436,465.661,4.18264,36.4761
-235.03,461.232,4.11091,36.9757
-237.956,456.968,4.0361,37.4754
-241.231,452.887,3.96099,37.9751
-244.861,449.002,3.88871,38.4748
-248.838,445.318,3.82223,38.9744
-253.143,441.833,3.76385,39.4741
-257.742,438.534,3.71502,39.9738
-262.592,435.401,3.67634,40.4734
-267.645,432.408,3.64777,40.9731
-272.849,429.523,3.62878,41.4728
-278.155,426.712,3.61849,41.9725
-283.522,423.94,3.61571,42.4721
-288.913,421.173,3.61893,42.9718
-294.306,418.383,3.62634,43.4715
-299.685,415.551,3.63578,43.9711
-305.042,412.664,3.64488,44.4708
-310.377,409.727,3.65114,44.9705
-315.691,406.758,3.65217,45.4702
-320.991,403.789,3.6458,45.9698
-326.281,400.87,3.63024,46.4695
-331.566,398.06,3.60428,46.9692
-336.849,395.425,3.5674,47.4689
-342.133,393.029,3.52006,47.9685
-347.417,390.927,3.46393,48.4682
-352.702,389.162,3.40196,48.9679
-357.987,387.754,3.33821,49.4675
-363.271,386.702,3.27722,49.9672
-368.554,385.981,3.2232,50.4669
-373.835,385.549,3.17927,50.9666
-379.115,385.35,3.1471,51.4662
-384.394,385.321,3.12688,51.9659
-389.672,385.399,3.1176,52.4656
-394.949,385.525,3.11738,52.9652
-400.227,385.653,3.12385,53.4649
-405.504,385.747,3.13441,53.9646
-410.781,385.785,3.14646,54.4643
-416.058,385.759,3.1575,54.9639
-421.335,385.675,3.16519,55.4636
-426.612,385.55,3.16731,55.9633
-431.888,385.415,3.16184,56.463
-437.164,385.308,3.14687,56.9626
-442.439,385.28,3.12076,57.4623
-447.715,385.39,3.08222,57.962
-452.991,385.704,3.03055,58.4616
-458.268,386.292,2.13187,58.9613
-463.546,387.229,3.63187,59.461
-468.827,388.59,2.13187,59.9607
-474.087,390.03,3.63187,60.4603
-472.05,387.832,3.63187,60.96
